cluster,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
1,0.8922119029239407,-0.9945509635938408,-0.9975585984972448,-0.27616915276490317,-0.4697942942746901,0
10_1,-1.263885508406987,1.0698973178941835,0.8755779467820731,0.5430131085543398,-1.2273784634276657,0
10_2,-0.679416078352324,1.2765434883704725,0.8464879869338018,2.718083250677847,-2.522477154743788,0
10_3,-1.78235853667497,1.6873469619211048,1.3408698785058042,1.571560410291888,-1.2273784634276657,1
10_4,-1.198258089167619,1.5503827331998208,1.3209657990428005,3.412643464129051,0.06772022788845665,0
10_5,-0.4245121460884039,0.9188242138751522,0.6565236094083987,2.076695110983673,-0.4697942942746901,0
2_1,-1.78235853667497,1.4334098325647329,1.471003526088022,1.0797187280393612,1.3628189192045788,0
2_2,-1.78235853667497,1.105899976452801,1.2257289771046334,-0.25124474319129536,1.1133245308728894,1
2_3,-1.78235853667497,1.4334098325647329,1.4331594200572844,-0.05683434851715447,0.06772022788845665,0
3,0.5402510899380403,-0.3329276477600934,-0.3763225067167246,0.1558539465109653,0.06772022788845665,0
4,-0.6649644162703359,-0.05472701467140276,0.18645310588840588,-1.2432362442208855,0.06772022788845665,1
5_1,-1.78235853667497,1.4334098325647329,1.5387758423460238,-1.4592477938588202,1.3628189192045788,1
5_2,-1.78235853667497,1.888205495669401,1.9943437361438003,-2.004261549868377,0.06772022788845665,0
5_3,-1.78235853667497,2.1343379707048356,2.308099585065511,-2.768610110125683,1.7797475735910944,1
6,0.2478067247914617,0.4553322038331548,0.13497331782631963,0.9733745805253012,0.4846488822749722,0
7,1.198539896108319,-1.756715282419017,-1.7564270291997532,-0.6716364513328137,-1.2273784634276657,0
8,-0.49503132398589544,0.3529881532238405,0.42355209408703837,-0.01363203858956766,0.8253043970414322,0
9,0.7385271633963562,-0.18885522830005477,-0.4162370151935916,0.5280584628101751,-1.2273784634276657,0
