cluster,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,aromatic_rings_count,fractioncsp3,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
10,-0.7952410862093539,-1.1235776318423565,-0.7131367474377105,-0.6492568399438642,-0.8632776917347931,0.5181137672735315,-0.5725773255611263,-0.7231571964295624,0.16361357788362096,0.05981888622539015,0
1_1,0.8333616619669598,2.063024029165796,0.8147745505845944,1.2332559548207669,-0.8632776917347931,1.0808935563721005,1.641688077191541,1.3187646463791056,1.426961066950874,-1.2264789212838934,1
1_2,0.7953035449037186,0.8916690183075154,0.9461956124125692,0.5950164362482825,-0.8632776917347931,0.6387094363660821,1.2113228306385366,1.1258950215180197,0.3867502772513437,0.05981888622539015,0
2_1,-4.777742835724646,-1.1235776318423565,-2.806981061224674,-1.59051323732618,-0.8632776917347931,0.5181137672735315,-0.890957969079318,-1.5141026112192706,0.5081628930837809,-0.4740429391311225,0
2_2,-4.777742835724646,0.568104196815935,-2.806981061224674,-1.59051323732618,-0.8632776917347931,-0.00446746546085365,-0.614966888482763,-0.6963641742058335,0.9281849154230236,-2.512776728793177,0
3,-0.3703464907234505,-0.34397380796187227,-0.7131367474377105,-0.09865714391131856,0.35959814643173904,-0.6878429236519727,-1.5300290722873549,-1.4569724109279591,-0.6108020258043575,-1.2264789212838934,0
4,-0.0023381930630629747,-0.34397380796187227,-0.10072654448091284,-0.09865714391131856,1.0749346547971137,-1.2506227127505414,-0.6583091051525284,-0.3975372888599587,-0.04639743328600038,0.05981888622539015,0
5_1,2.059500521080876,1.8037470230853228,2.054774877277427,2.477529231012914,1.5824739845982712,-0.2054602472817708,2.436942694964211,2.688345739431883,-2.2843272710622773,1.0983177523499146,0
5_2,1.5266463655870448,1.347708020696419,1.4722743527590902,1.783855650853313,0.35959814643173904,0.11612820363169687,1.641688077191541,1.756033671037044,-1.3720919412942347,0.4739142888546451,0
5_3,1.250628086474053,0.8916690183075154,1.5586058153693665,1.536272833630598,-0.8632776917347931,1.3220848945572017,1.460526710152094,1.4565453895004592,-1.3195891885018294,1.3461166937346734,1
5_4,1.802726215477665,2.158128308448546,1.8616967074780757,2.2568373110631983,-0.8632776917347931,0.6789079927302656,2.309532866399336,2.2792709478077793,-1.513193089423824,-0.4740429391311225,0
5_5,1.7810720692127435,1.4662102135878428,2.330151424770137,2.1745123522030827,-0.8632776917347931,1.3220848945572017,2.111549191488877,2.2667036393907773,-2.684660761104368,1.9370825774882707,1
6,0.9120841626469384,0.4356300159186115,0.9461956124125692,1.0519275427832722,1.5824739845982712,-0.6878429236519727,0.5657088924084089,0.8406115719672043,-0.22687564600989363,0.812254868378161,0
7,-0.1782708322766487,-0.0929974341731252,-0.10072654448091284,-0.6492568399438642,-0.8632776917347931,0.8397022181869996,0.3957810334949572,0.10820375145358216,0.7280181704019782,0.4739142888546451,0
8,-0.42510748023550193,0.8916690183075154,-0.7131367474377105,-0.6492568399438642,-0.8632776917347931,0.1965253163600639,-0.0601295861703388,-0.2705657478351584,0.6295755089162183,-1.2264789212838934,0
9,0.4638324050014725,0.1120651944270314,0.5116836584758848,0.29199955743845146,-0.8632776917347931,0.35731954181679754,0.09424457978611156,0.1119989701333089,-0.5566585619871895,0.05981888622539015,0
