cluster,n_total,n_oh_stable,pct_oh_stable,n_oz_stable,pct_oz_stable,median_oh_hl,median_oz_hl
1_1,1790,910,51.03757711721817,597,60.303030303030305,0.504,0.7255333333333333
1_2,3864,1710,44.87011283127788,1946,68.4729064039409,0.468,1.0187583333333334
2_1,876,692,88.60435339308579,491,74.84756097560977,1.2000000000000002,0.804
2_2,344,255,74.7800586510264,180,70.86614173228347,1.67,1.2853166666666667
3,6239,5850,94.81361426256078,2803,91.54147615937296,1.602,4.03
4,12726,9184,72.761844398669,5612,83.17770861123462,0.624,2.616
5_1,415,22,5.978260869565218,116,84.67153284671532,0.276,12.096
5_2,1042,167,16.420845624385446,434,77.91741472172352,0.396,3.984
5_3,1497,390,26.1219022103148,1032,94.41903019213174,0.408,3.72
5_4,665,149,22.439759036144576,172,66.15384615384615,0.372,1.945466666666667
5_5,849,171,21.61820480404551,655,97.47023809523809,0.372,3.72
6,7988,3187,41.68737737083061,3563,84.67205323193916,0.456,2.616
7,10091,7946,79.18285999003488,6787,82.1272991287512,0.804,2.116
8,7408,5068,68.77459628172072,4106,67.58847736625513,0.756,0.879
9,9008,6978,78.01878354203936,5590,84.64566929133859,0.756,2.184
10,9702,8601,89.0741507870754,6168,79.4231264486222,1.02,1.368
